REG_ANS;ValorDespesas;Ano;Trimestre
313084;11311383.14;2025;1
314218;12340.67;2025;1
314218;12340.67;2025;1
314218;12340.67;2025;1
314218;51227.93;2025;1
314366;806568.16;2025;1
314366;799631.79;2025;1
314366;799631.79;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;799631.79;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;212798.34;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;19689.48;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;618159.31;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
314366;0.0;2025;1
315044;50566835.02;2025;1
315044;50371626.16;2025;1
315044;13438843.35;2025;1
315494;90769.76;2025;1
315494;90769.76;2025;1
315494;90769.76;2025;1
315494;92149.73;2025;1
315494;-1379.97;2025;1
315729;1960236.34;2025;1
315729;1960236.34;2025;1
315729;1960236.34;2025;1
315729;2786171.71;2025;1
315796;3474243.16;2025;1
315796;2457162.3;2025;1
315796;4566558.93;2025;1
315796;4991889.14;2025;1
315796;4991889.14;2025;1
315796;3928.33;2025;1
315796;3953.33;2025;1
315796;9.29;2025;1
315796;9578.21;2025;1
315796;2251266.29;2025;1
315796;1525.44;2025;1
315796;1052789.39;2025;1
315796;1059021.51;2025;1
315796;2095.37;2025;1
315796;395600.43;2025;1
315796;67.23;2025;1
315796;161208.04;2025;1
315796;171831.63;2025;1
315796;25486.49;2025;1
315796;3905.88;2025;1
315796;32800560.79;2025;1
315796;32800560.79;2025;1
315796;36117.74;2025;1
315796;10737836.73;2025;1
315796;23671.43;2025;1
315796;5200858.75;2025;1
315796;4787629.21;2025;1
315796;5882.28;2025;1
315796;3904130.32;2025;1
315796;1926.9;2025;1
315796;1561898.62;2025;1
315796;1816788.54;2025;1
315796;2235649.42;2025;1
315796;1350.0;2025;1
315796;435010.25;2025;1
315796;588609.88;2025;1
315796;1581313.79;2025;1
315796;273221.3;2025;1
315796;438855.71;2025;1
315796;10852830.66;2025;1
315796;10852830.66;2025;1
315796;120.75;2025;1
315796;3090.03;2025;1
315796;2519103.44;2025;1
